group,WQSC,location,river,state,Latitude,Longitude
"Class C",1228,"ANAS AT DAHOD, (KUSHALGARH), DIST. PANCHMAHAL",ANAS,GUJARAT,"22.846264","74.291789"
"Class C",1229,"MAHI NEAR RAJASTHAN BORDER AT KADANA DAM,","MAHI NEAR RAJASTHAN BORDER",GUJARAT,"23.285842","73.831736"
"Class C",1230,"MAHI AFTER CONF. WITH ANAS AT PARDI (BANASWADA),","MAHI AFTER CONF. WITH ANAS",GUJARAT,"23.324822","73.9021"
"Class C",1231,"MAHI AT VIRPUR,",MAHI,GUJARAT,"23.152072","73.551372"
"NOT Class C",1232,"MAHI (D/S) CONF WITH R. CHAP (UNDER SAGWARA- SARHI RD. BDG.), RAJASTHAN",,RAJASTHAN,"23.648483","74.126708"
"Class C",1233,"MAHI AT BADNAWAR, M.P.",MAHI,"MADHYA PRADESH","23.031056","75.210878"
"NOT Class C",1236,"CHOTA TAWA BEFORE CONFL. WITH RIVER NARMADA, M.P.",,"MADHYA PRADESH","22.562555","77.978245"
"Class C",1242,"NARMADA NEAR SOURCE AT AMARKANTAK M.P.","NARMADA NEAR SOURCE","MADHYA PRADESH","22.67244","81.759518"
"Class C",1247,"TAPI AT MANDAVI,",TAPI,GUJARAT,"21.247908","73.301033"
"Class C",1248,"TAPI AT SURAT U/S KATHORE,",TAPI,GUJARAT,"21.2855","72.935483"
"NOT Class C",1250,"TAPI AT HATNUR M.P.",TAPI,"MADHYA PRADESH","21.264413","76.190181"
"NOT Class C",1251,"TAPI AT BHUSAWAL U/S, BHUSAWAL RAILWAY COLONY, BHUSAWAL, JALGAON",TAPI,MAHARASHTRA,"21.047772","75.786357"
"NOT Class C",1252,"GIRNA AT JALGAON",GIRNA,MAHARASHTRA,"20.674774","75.22279"
"NOT Class C",1253,"GIRNA AT MALEGAON (MANMAD), NASHIK",GIRNA,MAHARASHTRA,"20.559014","74.508394"
"Class C",1255,"PENNAR B/c WITH CHITRAVATHI, TADIPATRI, UNGANOOR, ANANTAPURA",PENNAR,"ANDHRA PRADESH","14.150574","77.822711"
"Class C",1256,"PENNAR A/c WITH PAPAGNI, PUSHPAGINI, KADAPA",PENNAR,"ANDHRA PRADESH","14.572795","78.79715"
"Class C",1257,"PENNAR A/c WITH CHEYYURU, SOMASILA, NELLORE",PENNAR,"ANDHRA PRADESH","14.481442","79.290142"
"NOT Class C",1259,"DHANSIRI AT GOLAGHAT, ASSAM",DHANSIRI,ASSAM,"26.503075","93.952372"
"Class C",1262,"BRAHAMPUTRA AT NIMATIGHAT, ASSAM",BRAHAMPUTRA,ASSAM,"26.830744","94.172775"
"NOT Class C",1264,"MAHANADI AT RUDRI U/S AT DHAMTORI RESERVOIR, CHHATISGARH.",MAHANADI,CHHATTISGARH,"20.652037","81.551365"
"NOT Class C",1265,"KHAROON AT RAIPUR U/S, CHHATISGARH.",KHAROON,CHHATTISGARH,"21.248011","81.542917"
"NOT Class C",1266,"SEONATH AT SHIMGA AFTER CONFL. WITH R. KHAROON,",SEONATH,CHHATTISGARH,"21.618808","81.695639"
"Class C",1267,"IB AT SUNDARGARH",IB,ODISHA,"22.124146","84.043157"
"Class C",1268,"IB AT JHARSUGUDA (INTAKE)",IB,ODISHA,"21.856425","84.002419"
"Class C",1269,"IB AT BRAJARAJNAGAR (INTAKE) D/S",IB,ODISHA,"21.828126","83.941121"
"Class C",1270,"MAHANADI AT SAMBALPUR U/S",MAHANADI,ODISHA,"21.455443","83.960359"
"NOT Class C",1271,"MAHANADI AT SAMBALPUR D/S",MAHANADI,ODISHA,"21.460108","83.969058"
"Class C",1272,"MAHANADI D/S (AFTER CONFL. WITH R. ONG SONEPUR U/S)",MAHANADI,ODISHA,"20.865096","83.91172"
"Class C",1274,"MAHANADI A/c WITH TEL (SONEPUR D/S)",MAHANADI,ODISHA,"20.855331","83.904147"
"Class C",1275,"MAHANADI AT TIKARPADA",MAHANADI,ODISHA,"20.612579","84.790163"
"NOT Class C",1276,"MAHANADI AT NARSINGHPUR",MAHANADI,ODISHA,"20.463775","85.083179"
"Class C",1277,"MAHANADI AT CUTTACK U/S",MAHANADI,ODISHA,"20.490062","85.895865"
"NOT Class C",1278,"MAHANADI AT CUTTACK D/S",MAHANADI,ODISHA,"20.48147","85.893506"
"Class C",1279,"KUAKHAI AT BHUBANESWAR U/s",KUAKHAI,ODISHA,"20.297906","85.882365"
"NOT Class C",1280,"KUAKHAI AT BHUBANESWAR D/s",KUAKHAI,ODISHA,"20.297755","85.880734"
"Class C",1281,"MAHANADI AT HIRAKUD RESERVOIR",MAHANADI,ODISHA,"21.516358","83.851139"
"NOT Class C",1282,"MAHANADI AT SHEORINARAYAN VILLAGE, CHHATISGARH.",MAHANADI,CHHATTISGARH,"21.728709","82.568814"
"Class C",1290,"PARVATI BEFORE CONF. TO RIVER BEAS",,"HIMACHAL PRADESH","31.896167","77.147692"
"Class C",1293,"SUTLEJ AT 1 KM. D/S OF ZENITH, PUNJAB",SUTLEJ,PUNJAB,"30.984964","76.4672"
"Class C",1294,"BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT MUKERIAN , PUNJAB",BEAS,PUNJAB,"31.923867","75.541467"
"Class C",1298,"DISANG AT GUNDAMGHAT,",DISANG,ASSAM,"27.311023","95.101786"
"Class C",1299,"BRAHAMPUTRA AT JOGIJHOGA NEAR BRIDGE",BRAHAMPUTRA,ASSAM,"26.214866","90.557934"
"NOT Class C",13,"GODAVARI AT MANCHERIAL",GODAVARI,TELANGANA,"18.850151","79.442839"
"Class C",1300,"IB AT BRAJARAJNAGAR U/S",IB,ODISHA,"21.863911","83.947739"
"NOT Class C",1301,"KATHAJODI AT CUTTACK D/s",KATHAJODI,ODISHA,"20.444394","85.890897"
"NOT Class C",1302,"BRAHMANI AT ROURKELA D/s AT JALDA",BRAHMANI,ODISHA,"22.182883","84.847889"
"Class C",1303,"BRAHMANI AT TALCHER U/s",BRAHMANI,ODISHA,"20.949817","85.216631"
"NOT Class C",1304,"JHELUM AT ANANTNAG D/S",JHELUM,"JAMMU & KASHMIR","33.739602","75.134049"
"NOT Class C",1306,"GAWKADAL, SRG (SHERGHARI, SRG)",,"JAMMU & KASHMIR","34.074254","74.807199"
"NOT Class C",1307,"CHUNT KOL (MAULANA AZAD BRIDGE)",,"JAMMU & KASHMIR","34.078121","74.813495"
"Class C",1310,"KRISHNA AT KURUNDWAD, SHIROL, KOLHAPUR",KRISHNA,MAHARASHTRA,"16.681396","74.590278"
"Class C",1311,"PANCHAGANGA AT ICHALKARANJI, SHIRADWAD,HATKANANGALE,",PANCHAGANGA,MAHARASHTRA,"16.746155","74.445716"
"NOT Class C",1312,"GODAVARI AT JAYAKWADI DAM, PAITHAN,AURANAGABAD",GODAVARI,MAHARASHTRA,"19.485317","75.370099"
"NOT Class C",1313,"TAPI AT AJAND VILLAGE, RAVER, JALGAON",TAPI,MAHARASHTRA,"21.24294","76.034146"
"NOT Class C",1314,"TAPI AT UBAD VILLAGE,SHAHADA, NANDURBAR",TAPI,MAHARASHTRA,"21.546291","74.466807"
"NOT Class C",1315,"WARDHA AT PULGAON RAILWAY BRIDGE, PULGAON, WARDHA, WARDHA",WARDHA,MAHARASHTRA,"20.726241","78.31758"
"NOT Class C",1319,"AMRAVATI AT 1KM D/S FROM EFF.DIS. PT. AT MADHUTHUKKULAM",AMRAVATI,"TAMIL NADU","10.541244","77.368656"
"NOT Class C",1320,"CAUVERY AT ERODE NEAR CHIRAPALAYAM, TAMILNADU",CAUVERY,"TAMIL NADU","11.335795","77.753762"
"NOT Class C",1322,"CAUVERY AT 1KM. D/S OF BHAVANI RIVER CONFL., TAMILNADU",CAUVERY,"TAMIL NADU","11.445663","77.677626"
"NOT Class C",1323,"CAUVERY AT VELORE NEAR KATTIPALAYAM, TAMILNADU",CAUVERY,"TAMIL NADU","11.18","78.01"
"NOT Class C",1324,"CAUVERY AT MOHANUR NEAR PATTAIPALAYAM, TAMILNADU",CAUVERY,"TAMIL NADU","11.064392","78.120358"
"NOT Class C",1325,"CAUVERY AT TIRUCHIRAPPALLI D/S, TAMILNADU",CAUVERY,"TAMIL NADU","10.766809","78.665272"
"NOT Class C",1326,"CAUVERY AT COLEROON, TAMILNADU",CAUVERY,"TAMIL NADU","11.326822","79.702981"
"NOT Class C",1327,"CAUVERY AT PITCHAVARAM, TAMILNADU",CAUVERY,"TAMIL NADU","11.418828","79.772375"
"NOT Class C",1331,"DAMODAR AT DISHERGARH VILL.(NR.JHARKHAND-WEST BENGAL BORDER) , BURDWAN,WEST BENGAL",DAMODAR,"WEST BENGAL","23.685031","86.823472"
"NOT Class C",1332,"DAMODAR AT D/S OF IISCO AFTER 3RD OUTFALL AT DHENNA VILLAGE, BURDWAN,WEST BENGAL",DAMODAR,"WEST BENGAL","23.646961","86.897068"
"NOT Class C",1333,"DAMODAR AT NARAINPUR AFTER CONFL. OF NUNIA NALLAH, BURDWAN,WEST BENGAL",DAMODAR,"WEST BENGAL","23.584399","87.103495"
"NOT Class C",1334,"DAMODAR NEAR MUJHER MANA VILLAGE AFTER CONF. OF TAmLA NALLAH, BURDWAN,WEST BENGAL",,"WEST BENGAL","23.429785","87.364995"
"NOT Class C",1337,"RUPNARAYAN BEFORE CONFL. TO RIVER GANGA NEAR GEONKHALI,MEDINIPORE",,"WEST BENGAL","22.21835","88.024305"
"NOT Class C",1350,"GOMTI AT SITAPUR U/S AT WATER INTAKE, U.P.",GOMTI,"UTTAR PRADESH","27.572878","80.67895"
"NOT Class C",1351,"GOMTI AT LUCKNOW U/S AT WATER INTAKE POINT,",GOMTI,"UTTAR PRADESH","26.862031","80.931322"
"NOT Class C",1352,"GOMTI AT LUCKNOW D/S,",GOMTI,"UTTAR PRADESH","26.833275","80.995211"
"NOT Class C",1353,"GOMTI AT JAUNPUR D/S,",GOMTI,"UTTAR PRADESH","25.751611","82.726469"
"NOT Class C",1354,"SARYU AT AYODHYA AT MAIN BATHING GHAT, U.P.",SARYU,"UTTAR PRADESH","26.797519","82.234306"
"NOT Class C",1355,"GHAGHARA AT DEORIA D/S, U.P.",GHAGHARA,"UTTAR PRADESH","26.169467","83.868992"
"NOT Class C",1356,"BETWA BEFORE CONF. YAMUNA AT HAMIRPUR, U.P.","BETWA BEFORE CONF. YAMUNA","UTTAR PRADESH","25.94085","80.153822"
"NOT Class C",1357,"HINDON AT SAHARANPUR D/S, U.P.",HINDON,"UTTAR PRADESH","29.910025","77.600275"
"NOT Class C",1358,"HINDON AT GHAZIABAD D/S, U.P.",HINDON,"UTTAR PRADESH","28.673761","77.402644"
"Class C",1359,"RIHAND AT RENUKUT U/S, U.P.",RIHAND,"UTTAR PRADESH","24.339814","83.003589"
"NOT Class C",1360,"RIHAND AT RENUKUT D/S, U.P.",RIHAND,"UTTAR PRADESH","24.261214","83.009353"
"NOT Class C",1361,"SAI AT UNNAO AFTER DRAIN OUTFALL, U.P.",SAI,"UTTAR PRADESH","26.649979","80.793854"
"NOT Class C",1363,"RAPTI AFTER CONFL. OF R. HONIN NR. DOMINGARH RLY BRIDGE, GORAKHPUR, U.P.",,"UTTAR PRADESH","26.754692","83.334211"
"Class C",1365,"CHAMBAL AT NAGDA U/S (WATER INTAKE POINT) M.P.",CHAMBAL,"MADHYA PRADESH","22.428806","75.508689"
"NOT Class C",1366,"CHAMBAL AT NAGDA D/S, M.P.",CHAMBAL,"MADHYA PRADESH","22.428791","75.508684"
"NOT Class C",1367,"KHAN AT KABIT KHEDI (NEAR INDORE) M.P.",KHAN,"MADHYA PRADESH","22.703363","75.877149"
"NOT Class C",1369,"KSHIPRA AT RAMGHAT AT UJJAIN, M.P.",KSHIPRA,"MADHYA PRADESH","23.187353","75.764282"
"NOT Class C",1370,"KSHIPRA AT TRIVENISANGAM (1 KM. D/S OF SANGAM), M.P.",KSHIPRA,"MADHYA PRADESH","22.97582","75.917157"
"Class C",1371,"SONE AT AMLAI, M.P.",SONE,"MADHYA PRADESH","23.36049","81.499529"
"NOT Class C",1375,"YAMUNA AT OKHLA BRIDGE (INLET OF AGRA CANAL), DELHI",YAMUNA,DELHI,"28.566967","77.294665"
"NOT Class C",1380,"SUTLEJ AT D/S NFL, PUNJAB",SUTLEJ,PUNJAB,"31.356053","76.372837"
"NOT Class C",1381,"SUTLEJ AT D/S EAST BEIN, PUNJAB",SUTLEJ,PUNJAB,"31.01532","75.715315"
"Class C",1386,"CAUVERY AT D/S OF KAREKUARA VILLAGE,",CAUVERY,KARNATAKA,"12.418187","76.679259"
"NOT Class C",1387,"BHADRA AT D/S OF BHADRAVATHI,",BHADRA,KARNATAKA,"13.832272","75.713164"
"Class C",1389,"SUTLEJ AT NEPTHA ZAKHAI",SUTLEJ,"HIMACHAL PRADESH","31.859386","77.165125"
"Class C",14,"GODAVARI AT POLAVARAM, WEST GODAVARI DISTRICT",GODAVARI,"ANDHRA PRADESH","17.247331","81.646613"
"Class C",1407,"SABARMATI AT GANDHI NAGAR CHILODA BRIDGE, LEKAWADA,",SABARMATI,GUJARAT,"23.245906","72.68218"
"NOT Class C",1408,"SABARMATI AT VILL. MIROLI TALUKA DASCROI,",SABARMATI,GUJARAT,"23.031314","72.575114"
"NOT Class C",1409,"SABARMATI AT RAILWAY BRIDGE AHMEDABAD,",SABARMATI,GUJARAT,"23.06353","72.589064"
"NOT Class C",1410,"JHELUM AT DALAGATE (INLET), SRINAGAR",JHELUM,"JAMMU & KASHMIR","34.07107","74.827465"
"NOT Class C",1411,"JHELUM AT CHATTABAL WEIR (OUTLET",JHELUM,"JAMMU & KASHMIR","34.09033","74.784796"
"NOT Class C",1412,"TAWI AT JAMMU U/S, (TAWI BRIDGE )",TAWI,"JAMMU & KASHMIR","32.721426","74.85681"
"NOT Class C",1422,"BURHIDIHING AT MARGHERITA, ASSAM",BURHIDIHING,ASSAM,"27.284622","95.662347"
"NOT Class C",1432,"PARVATI NEAR VILLAGE BATAODAPAR, M.P.",,"MADHYA PRADESH","24.586045","77.069419"
"Class C",1445,"KABINI AT WATER INTAKE OF KIADB AT NANJANGUD,",KABINI,KARNATAKA,"12.128439","76.683919"
"Class C",1451,"CAUVERY AT THIRUMUKKUDAL-CONFL. PT.OF R. AMRAVATI",CAUVERY,"TAMIL NADU","11.050024","78.120645"
"NOT Class C",1463,"NIRA AT SAROLA BDG.ON PUNE-BANGLORE HIGHWAY, SAROLA, BHOR, PUNE",NIRA,MAHARASHTRA,"18.172703","73.953644"
"NOT Class C",1465,"KRISHNA AT WADAPALLY AFTER CONFL. WITH R. MUSI(SHIFTED FROM 1220)",KRISHNA,TELANGANA,"16.694675","79.689933"
"NOT Class C",1467,"MAHANADI AFTER CONFL. WITH RIVER MAND, CHHATISGARH.",,CHHATTISGARH,"21.695876","83.2426"
"NOT Class C",1468,"KSHIPRA AT SIDDHAWAT (D/S) OF UJJAIN., M.P.",KSHIPRA,"MADHYA PRADESH","23.211447","75.774618"
"NOT Class C",1469,"GANGA AT DIAMOND HARBOUR, 24 PARGANAS (S)WEST BENGAL",GANGA,"WEST BENGAL","22.183383","88.193783"
"NOT Class C",1470,"GANGA AT GARDEN REACH, KOLKATA, WEST BENGAL",GANGA,"WEST BENGAL","22.549717","88.296125"
"NOT Class C",1471,"GANGA AT HOWRAH-SHIVPUR WEST BENGAL",GANGA,"WEST BENGAL","22.558292","88.324394"
"NOT Class C",1472,"GANGA AT SERAMPORE, HOOGHLY,WEST BENGAL",GANGA,"WEST BENGAL","22.761306","88.340319"
"NOT Class C",1477,"KALINADI AT U/S OF MUZAFFAR NAGAR U.P.",KALINADI,"UTTAR PRADESH","29.474581","77.67095"
"NOT Class C",1478,"KALINADI AT D/S OF MUZAFFAR NAGAR, U.P.",KALINADI,"UTTAR PRADESH","29.432533","77.675953"
"Class C",1482,"SABARMATI AT MAHUDI JAIN TEMPLE, 150 KM. FORM ORIGIN,",SABARMATI,GUJARAT,"23.496903","72.796265"
"NOT Class C",1483,"HINDON AFTER CONFL. WITH R. KRISHNA & KALI NEAR BINAULI TOWN, MEERUT, U.P.",,"UTTAR PRADESH","28.635922","77.394341"
"Class C",1484,"ALAKNANDA B/C MANDAKINI AT RUDRA PRAYAG","ALAKNANDA B/C MANDAKINI",UTTARAKHAND,"30.287506","78.985451"
"Class C",1485,"MANDAKINI B/C ALAKLNADA AT RUDRAPRAYAG,","MANDAKINI B/C ALAKLNADA",UTTARAKHAND,"30.290028","78.979932"
"Class C",1486,"ALAKNANDA A/C MANDAKINI AT RUDRAPRAYAG","ALAKNANDA A/C MANDAKINI",UTTARAKHAND,"30.285854","78.978295"
"Class C",1487,"ALAKNANDA B/C TO BHAGIRATHI AT DEVPRAYAG","ALAKNANDA B/C TO BHAGIRATHI",UTTARAKHAND,"30.144753","78.601484"
"Class C",1488,"BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG","BHAGIRATHI B/C WITH ALAKNANDA",UTTARAKHAND,"30.147103","78.598107"
"Class C",1489,"ALAKNANDA A/C WITH BHAGIRATHI AT DEVPRAYAG","ALAKNANDA A/C WITH BHAGIRATHI",UTTARAKHAND,"30.140504","78.597358"
"Class C",1490,"YAMUNA AT U/S DAK PATHER,",YAMUNA,UTTARAKHAND,"30.498618","77.803498"
"NOT Class C",1491,"BHAGIRATHI AT GANGOTRI",BHAGIRATHI,UTTARAKHAND,"30.946033","78.688498"
"NOT Class C",1492,"YAMUNA AT YAMUNOTRI",YAMUNA,UTTARAKHAND,"30.976465","78.438614"
"NOT Class C",1493,"YAMUNA AT HANUMANCHATTI",YAMUNA,UTTARAKHAND,"30.932423","78.400244"
"NOT Class C",1494,"YAMUNA AT U/S OF LAKHWAR DAM",YAMUNA,UTTARAKHAND,"30.518822","77.949536"
"NOT Class C",1496,"YAMUNA AT KALANAUR, YAMUNA NAGAR",YAMUNA,HARYANA,"30.069997","77.355057"
"NOT Class C",1497,"YAMUNA AT MAZAWALI, U.P",YAMUNA,"UTTAR PRADESH","28.095092","77.477669"
"NOT Class C",1498,"YAMUNA AT BATESWAR, U.P",YAMUNA,"UTTAR PRADESH","26.932682","78.54366"
"NOT Class C",1499,"YAMUNA AT JUHIKA B/C WITH CHAMBAL, ETAWAH, U.P",YAMUNA,"UTTAR PRADESH","26.42602","79.478799"
"Class C",1510,"TONS RIVER, SIRMAUR",,"HIMACHAL PRADESH","30.556089","77.777152"
"Class C",1526,"BRAHMPUTRA RIVER AT DHENUKHAPAHAR, ASSAM","BRAHMPUTRA RIVER",ASSAM,"26.616375","92.82735"
"NOT Class C",1530,"DIGBOI RIVER AT LAKHIPATHE, RESERVE FOREST, DIGBOI, ASSAM","DIGBOI RIVER",ASSAM,"27.381964","95.622819"
"Class C",1550,"BEAS U/S MANDI",BEAS,"HIMACHAL PRADESH","31.705853","76.934903"
"NOT Class C",1551,"SIRSA RIVER , U/S SITOMAJRI NALLAHGARH","SIRSA RIVER ,","HIMACHAL PRADESH","30.919003","76.806214"
"NOT Class C",1552,"SIRSA RIVER, D/S NALAGARH BRIDGE","SIRSA RIVER,","HIMACHAL PRADESH","30.915403","76.791131"
"Class C",1553,"YAMUNA RIVER, U/S PAONTA SAHIB","YAMUNA RIVER,","HIMACHAL PRADESH","30.392244","77.572103"
"Class C",1554,"YAMUNA RIVER, D/S PAONTA SAHIB","YAMUNA RIVER,","HIMACHAL PRADESH","30.465256","77.661758"
"NOT Class C",1607,"GOHAD DAM, GOHAD, M.P",,"MADHYA PRADESH","26.429359","78.430415"
"Class C",1610,"SONE AT ORIGIN AMARKANTAK, M.P",SONE,"MADHYA PRADESH","22.658372","81.766812"
"NOT Class C",1612,"SONE AT DEVLOAD OUT LET OF BANSAGAR DAM, M.P",SONE,"MADHYA PRADESH","24.191914","81.287449"
"NOT Class C",1614,"BETWA NEAR INTAKE POINT, VIDISHA, M.P",,"MADHYA PRADESH","23.541173","77.801938"
"Class C",1640,"BIRUPA AT CHOUDWAR D/s",BIRUPA,ODISHA,"20.546532","85.91187"
"Class C",1641,"SUBARNAREKHA AT RAJGHAT (THENGUDIA)",SUBARNAREKHA,ODISHA,"21.770058","87.156229"
"NOT Class C",1690,"SUTLEJ AT U/S BUDHA NALLAH (UPPER), PUNJAB",SUTLEJ,PUNJAB,"30.922369","75.919469"
"Class C",1691,"SUTLEJ AT U/S HUSSANIWALA - H/W FEROZEPUR, PUNJAB",SUTLEJ,PUNJAB,"30.995289","74.552492"
"Class C",1692,"SUTLEJ AT D/S HUSSANIWALA- H/W FEROZEPUR, PUNJAB",SUTLEJ,PUNJAB,"30.99008","74.54847"
"Class C",1693,"BEAS AT TALWARA H/W, PUNJAB",BEAS,PUNJAB,"31.989016","75.832499"
"Class C",1694,"BEAS AT U/S PATHANKOT, PUNJAB",BEAS,PUNJAB,"32.111503","75.663325"
"Class C",1695,"BEAS D/S PATHANKOT, PUNJAB",BEAS,PUNJAB,"32.093633","75.609725"
"Class C",1696,"BEAS U/S GOINDWAL, PUNJAB",BEAS,PUNJAB,"31.385361","75.176625"
"Class C",1697,"BEAS AT HARIKE, PUNJAB",BEAS,PUNJAB,"31.508844","75.307539"
"NOT Class C",1735,"BETWA AT GOVIND SAGAR, U.P",BETWA,"UTTAR PRADESH","24.651228","78.423136"
"NOT Class C",1764,"CHURNI D/S OF RANAGHAT TOWN, WEST BENGAL",CHURNI,"WEST BENGAL","23.177966","88.558164"
"NOT Class C",1781,"MANJEERA RIVER - NEAR GANAPATHI SUGARS , MEDAK DIST.",,TELANGANA,"17.649043","78.118479"
"NOT Class C",1784,"KRISHNA AT THANGADI , MAHABOOBNAGAR DIST.",KRISHNA,TELANGANA,"16.424222","77.278883"
"Class C",1785,"TUNGABHADRA AT MANTHRALAYAM, KURNOOL",TUNGABHADRA,"ANDHRA PRADESH","15.944453","77.419709"
"Class C",1786,"KRISHNA AT VEDADRI, KURNOOL",KRISHNA,"ANDHRA PRADESH","16.801875","80.129553"
"Class C",1787,"KRISHNA AT AMARAVATI, GUNTUR",KRISHNA,"ANDHRA PRADESH","16.582608","80.343451"
"NOT Class C",1796,"DHANSIRI AT FULL NAGARJAN",DHANSIRI,NAGALAND,"25.888505","93.733632"
"NOT Class C",1798,"DHANSIRI AT NEAR CHECK GATE (DIMAPUR KHUTKHUTI ROAD)",DHANSIRI,NAGALAND,"25.910359","93.743963"
"NOT Class C",1799,"DHANSIRI AT TOWN BOUNDARY BRIDGE (DIPHU ROAD)",DHANSIRI,NAGALAND,"26.622872","93.773159"
"NOT Class C",1800,"DHANSIRI AT NUTON BASTI",DHANSIRI,NAGALAND,"25.802","93.606574"
"Class C",1802,"DIKCHU B/c WITH TEESTA NEAR NHPC HYDROELECTRIC POWER PROJECT",DIKCHU,SIKKIM,"27.402553","88.519402"
"NOT Class C",1812,"YAMUNA AT OKHLA AFTER MEETING OF SHAHDARA DRAIN, DELHI",YAMUNA,DELHI,"28.533295","77.330724"
"NOT Class C",1815,"GANGA AT MOKAMA (D/S)",GANGA,BIHAR,"25.381441","85.987169"
"NOT Class C",1816,"GANGA AT KAHALGAON",GANGA,BIHAR,"25.267334","87.227318"
"NOT Class C",1817,"GANGA AT MOKAMA (U/S), MAHADEO ASTHAN, PATNA",GANGA,BIHAR,"25.401104","85.923198"
"NOT Class C",1818,"GANGA AT MUNGER",GANGA,BIHAR,"25.384978","86.458978"
"NOT Class C",1819,"GANGA AT BHAGALPUR",GANGA,BIHAR,"25.254387","86.948424"
"NOT Class C",1820,"SIKRANA AT CHANPATIYA, EAST CHAMPARAN",SIKRANA,BIHAR,"26.960335","84.534192"
"NOT Class C",1821,"DAHA AT SIWAN",DAHA,BIHAR,"26.222639","84.354122"
"NOT Class C",1822,"SIRSIYA AT RAXAUL, EAST CHAMPARAN",SIRSIYA,BIHAR,"26.98375","84.857739"
"NOT Class C",1823,"DHOUS AT MADHUVAPUR, MADHUBANI",DHOUS,BIHAR,"26.410836","86.237178"
"Class C",1845,"SEONATH RIVER WATER SUPPLY WELL, DURG, CHHATISGARH.",,CHHATTISGARH,"21.189994","81.280092"
"NOT Class C",1846,"KHAROON RIVER A/C KHAPRI DRAIN, CHHATISGARH.",,CHHATTISGARH,"21.179853","81.2545"
"NOT Class C",1847,"KHAROON RIVER B/C KHAPRI DRAIN, DURG, RAIPUR ROAD BRIDGE, CHHATISGARH.",,CHHATTISGARH,"21.200022","81.237472"
"NOT Class C",1848,"ARPA RIVER D/S OF BILASPUR, CHHATISGARH.","ARPA RIVER",CHHATTISGARH,"22.069453","82.190639"
"NOT Class C",1849,"KELO RIVER U/S OF RAIGARH, CHHATISGARH.","KELO RIVER",CHHATTISGARH,"21.914789","83.404678"
"NOT Class C",1850,"KELO RIVER D/S OF RAIGARH, CHHATISGARH.","KELO RIVER",CHHATTISGARH,"21.911203","83.407498"
"NOT Class C",1851,"MAHANADI AT SIHAWA, CHHATISGARH.",MAHANADI,CHHATTISGARH,"20.308614","81.917614"
"NOT Class C",1852,"MAHANADI AT ARRANG, RAIPUR, CHHATISGARH.",MAHANADI,CHHATTISGARH,"21.15025","82.002864"
"NOT Class C",1853,"KHAROON RIVER BUNDRI, RAIPUR, CHHATISGARH.",,CHHATTISGARH,"21.105793","81.579948"
"Class C",1854,"INDRAVATI RIVER A/C DANTEWADA RIVER, NELSONNAR, DANTEWADA, CHHATISGARH.",,CHHATTISGARH,"18.900033","81.344044"
"NOT Class C",1855,"INDRAVATI RIVER B/C GODAVARI AT BHOPALPATNAM, DANTEWADA, CHHATISGARH.","INDRAVATI RIVER B/C GODAVARI",CHHATTISGARH,"18.731275","80.278886"
"Class C",1856,"SHANKNI RIVER A/C DANKANI RIVER DANTEWADA, CHHATISGARH.",,CHHATTISGARH,"18.888807","81.370074"
"NOT Class C",1863,"MAHI AT UMETA BRIDGE",MAHI,GUJARAT,"22.342298","73.052575"
"Class C",1864,"MAHI AT MUJPUR",MAHI,GUJARAT,"22.254744","72.982618"
"NOT Class C",1866,"SABARMATI RIVER AT HANSAOL BRIDGE,","SABARMATI RIVER",GUJARAT,"23.090926","72.629239"
"Class C",1867,"SUTLEJ RIVER B/C WITH RIVER SPITI AT KHAB, DISTT.KINNAUR","SUTLEJ RIVER B/C WITH RIVER SPITI","HIMACHAL PRADESH","31.804453","78.643214"
"NOT Class C",1868,"SIRSA RIVER AT D/S NALAGARH DISTT. SOLAN","SIRSA RIVER","HIMACHAL PRADESH","30.998567","76.738231"
"Class C",1869,"SWAN RIVER AT D/S NANGAL DISTT. UNA","SWAN RIVER","HIMACHAL PRADESH","31.365081","76.306519"
"NOT Class C",1870,"SUKHANA RIVER AT PARWANOO, DISTT. SOLAN","SUKHANA RIVER","HIMACHAL PRADESH","30.83115","76.967303"
"Class C",1889,"KRISHNA - ANKALI BRIDGE ALONG CHIKKODI KAGWAD ROAD",,KARNATAKA,"16.5575","74.679717"
"NOT Class C",1893,"YAGACHI RIVER NEAR PUMPING STATION. HASSAN CITY",,KARNATAKA,"13.006814","76.099553"
"NOT Class C",1895,"KAGINA D/S OF SEWAGE DISPOSAL POINT",KAGINA,KARNATAKA,"17.107483","76.955311"
"Class C",1896,"TUNGABHADRA AT CONFLUENCE POINT OF TUNGA AND BHADRA AT KUDLI",TUNGABHADRA,KARNATAKA,"14.011333","75.676667"
"Class C",1904,"PANCHAGANGA U/S OF KOLHAPUR TOWN, BALINGA, KARVIR, KOLHAPUR",PANCHAGANGA,MAHARASHTRA,"16.688467","74.169462"
"Class C",1905,"PANCHAGANGA D/S OF KOLHAPUR TOWN, UCHEGAON, KOLHAPUR",PANCHAGANGA,MAHARASHTRA,"16.695477","74.274998"
"Class C",1906,"KRISHNA D/S OF ISLAMPUR, WALWA, SANGLI",KRISHNA,MAHARASHTRA,"17.029275","74.380064"
