group,WQSC,location,river,state,Latitude,Longitude
"NOT Class C",10103,"RIVER HINDON AT MOHAN NAGAR D/S","RIVER HINDON","UTTAR PRADESH","28.664419","77.399531"
"NOT Class C",10106,"RIVER HINDON AT GHAZIABAD U/S","RIVER HINDON","UTTAR PRADESH","28.733891","77.385236"
"NOT Class C",10108,"RIVER DAMODAR AT ANDAL D/S, BURDWAN","RIVER DAMODAR","WEST BENGAL","23.524931","87.244592"
"NOT Class C",10109,"RIVER DAMODAR AT ASANSOL U/S, BURDWAN","RIVER DAMODAR","WEST BENGAL","23.683818","86.829122"
"Class C",1011,"BEAS AT G.T. ROAD UNDER BDG. NEAR KAPURTHALA",BEAS,PUNJAB,"31.51012","75.304936"
"NOT Class C",10110,"RIVER DAMODAR AT DURGAPUR U/S, BURDWAN","RIVER DAMODAR","WEST BENGAL","23.574011","87.117749"
"NOT Class C",10111,"RIVER DAMODAR AT RANIGANJ D/S, BURDWAN","RIVER DAMODAR","WEST BENGAL","23.568689","87.141651"
"NOT Class C",10113,"RIVER GANGA AT U/S JAIL GHAT, BUXAR","RIVER GANGA",BIHAR,"25.484321","85.668239"
"NOT Class C",10114,"RIVER GANGA TA MAA AMBIKA ASTHAN, AAMI, SARAN","RIVER GANGA",BIHAR,"25.740235","84.963161"
"NOT Class C",10115,"RIVER GANGA TA GULABI GHAT, PATNA","RIVER GANGA",BIHAR,"25.620356","85.179995"
"Class C",1012,"BEAS AT 100M D/S INDUST. DISCH. GOINDWAL",BEAS,PUNJAB,"31.374996","75.162691"
"NOT Class C",10122,"RIVER GANGA AT TRIVENI GHAT, PATNA","RIVER GANGA",BIHAR,"25.515132","85.301372"
"NOT Class C",10126,"GANDAK AT KONHARA GHAT, VAISHALI",GANDAK,BIHAR,"25.678586","85.194604"
"Class C",1013,"SUTLEJ AT U/S TATAPANI",SUTLEJ,"HIMACHAL PRADESH","31.247458","77.088208"
"NOT Class C",10130,"RIVER GANGA AT D/S NAWADGHAT, BARH, PATNA","RIVER GANGA",BIHAR,"24.890805","85.56"
"NOT Class C",10131,"RIVE GANGA AT U/S BARAHPUR BINDTOLI","RIVE GANGA",BIHAR,"25.586863","84.693046"
"NOT Class C",10138,"RIVER GANGA AT CHAMPANAGAR, BHAGALPUR","RIVER GANGA",BIHAR,"25.242256","86.925987"
"Class C",1014,"SUTLEJ AT U/S SLAPPER",SUTLEJ,"HIMACHAL PRADESH","31.421014","76.837836"
"NOT Class C",10143,"RIVER GANGA D/S NEAR CREMATION GHAT","RIVER GANGA",BIHAR,"25.31074","83.014205"
"NOT Class C",10144,"RIVER GANGA U/S NEAR LCT GHAT","RIVER GANGA",JHARKHAND,"25.292498","87.63183"
"NOT Class C",10145,"RIVER GANGA D/S NEAR JANTA GHAT","RIVER GANGA",JHARKHAND,"25.210819","87.769721"
"NOT Class C",10146,"RIVER GANGA AT SANGI DALAN","RIVER GANGA",JHARKHAND,"25.05634","87.83515"
"Class C",10147,"RIVER GANGA D/S RISHIKESH","RIVER GANGA",UTTARAKHAND,"30.0305","78.245833"
"Class C",10148,"RIVER GANGA AT HAR KI PAURI GHAT","RIVER GANGA",UTTARAKHAND,"29.943552","78.166796"
"Class C",10149,GHARMUKTESHWAR,,"UTTAR PRADESH","28.802444","78.128722"
"Class C",1015,"SUTLEJ AT D/S SLAPPER",SUTLEJ,"HIMACHAL PRADESH","31.412833","76.874881"
"NOT Class C",10150,"RIVER GANGA AT MADHYA GANGA BARRAGE, BIJNOR","RIVER GANGA","UTTAR PRADESH","29.373468","78.040547"
"Class C",10151,"RIVER GANGA AT FARUKKABAD","RIVER GANGA","UTTAR PRADESH","27.398639","79.627389"
"NOT Class C",10152,"RIVER GANGA A/C GOMTI RIVER, BHUSAULA",,"UTTAR PRADESH","25.345102","82.479827"
"NOT Class C",10153,"RIVER GNAGA TA CHUNAR","RIVER GNAGA","UTTAR PRADESH","25.129278","82.877278"
"NOT Class C",10154,"RIVER GANGA AT BATHING GHAT (BHARAOGHAT)","RIVER GANGA","UTTAR PRADESH","25.51411","83.850678"
"NOT Class C",10156,"RIVER GANGA AT BATHING GHAT (GOLA GHAT)","RIVER GANGA","UTTAR PRADESH","25.580128","83.589787"
"NOT Class C",10157,"RIVER GANGA AT BATHING GHAT (JAJMAU BRIDGE)","RIVER GANGA","UTTAR PRADESH","26.434322","80.408587"
"NOT Class C",10158,"RIVER GANGA A/C TAMSA RIVER, SIRSA, SON BARSA",,"UTTAR PRADESH","25.259363","82.096478"
"NOT Class C",10159,"RIVER GANGA AT BEHRAMPORE (KHAGRA) MURSHIDABAD","RIVER GANGA","WEST BENGAL","24.100163","88.245205"
"Class C",1016,"SUTLEJ AT D/S BHAKHRA",SUTLEJ,"HIMACHAL PRADESH","31.425772","76.421883"
"NOT Class C",10160,"RIVER GANGA AT BEHRAMPORE (GORA BAZAR) MURSHIDABAD","RIVER GANGA","WEST BENGAL","24.101003","88.243238"
"NOT Class C",10161,"RIVER GANGA AT PALTA, SHITALTALA,","RIVER GANGA","WEST BENGAL","22.774972","88.334278"
"NOT Class C",10162,"GANGA AT ARA-CHHAPRA ROAD BRIDGE (KOILWER BANURA- CHHAPRA ROAD)",GANGA,BIHAR,"25.68032","84.785773"
"NOT Class C",10163,"GANDAK AT ROAD BRIDGE, U/S HAJIPUR",GANDAK,BIHAR,"25.692357","85.195574"
"Class C",1017,"SUTLEJ AT 100M U/S OF HEADWORKS, NANGAL",SUTLEJ,PUNJAB,"31.380831","76.367228"
"NOT Class C",1018,"SUTLEJ AT 100M D/S , NANGAL",SUTLEJ,PUNJAB,"31.375996","76.364695"
"NOT Class C",1020,"SUTLEJ AT 100M D/S BUDHA NALA CONFL., LUDHIANA",SUTLEJ,PUNJAB,"30.975026","75.608293"
"NOT Class C",1021,"SUTLEJ AT BOAT BDG. DHARMKOTNAKODAR ROAD, JALANDHAR",SUTLEJ,PUNJAB,"30.99775","75.371988"
"NOT Class C",1022,"SUTLEJ AT BRIDGE HARIKE, AMRITSAR",SUTLEJ,PUNJAB,"31.139816","74.936455"
"Class C",1028,"KRISHNA AT TINTINI BRIDGE,",KRISHNA,KARNATAKA,"16.369172","76.656647"
"NOT Class C",1029,"TUNGABHADRA AT HARALAHALLI BRIDGE,",TUNGABHADRA,KARNATAKA,"14.325397","75.771092"
"Class C",1030,"BRAHAMPUTRA AT DIBRUGARH, ASSAM",BRAHAMPUTRA,ASSAM,"27.510417","94.953333"
"Class C",1031,"BRAHAMPUTRA AT PANDU,",BRAHAMPUTRA,ASSAM,"26.176","91.68375"
"Class C",1034,"SANKH AT BOLBA,",SANKH,JHARKHAND,"22.460644","84.331716"
"Class C",1035,"KARO AT LOHOJIMI U/S, JHARKAND",KARO,JHARKHAND,"22.833734","85.130562"
"NOT Class C",1038,"BRAHMANI AT D/S PANPOSH AT DEOGAN",BRAHMANI,ODISHA,"20.697347","85.747603"
