group,WQSC,location,river,state,Latitude,Longitude,Colour,ColourFill
"NOT Class C",2655,"BHIMA RIVER AT KOREGAON NEAR KOREGAON BRIDGE, SHIRUR, PUNE","BHIMA RIVER",MAHARASHTRA,"18.645719","74.056442",red,"#f03"
"NOT Class C",2656,"BHIMA RIVER-BACKWATER OF UJANI DAM NEAR RAW WATER PUMP HOUSE, KUMBARGAON, INDAPUR, PUNE",,MAHARASHTRA,"18.202061","75.088989",red,"#f03"
"NOT Class C",2657,"BINDUSARA RIVER AT BEED NEAR INTAKE WATER PUMP HOUSE AT DAM, PALIGAON, BEED","BINDUSARA RIVER",MAHARASHTRA,"18.916511","75.743889",red,"#f03"
"NOT Class C",2658,"BORI RIVER D/S OF AMALNER, JALGAON","BORI RIVER",MAHARASHTRA,"21.039758","75.067178",red,"#f03"
"NOT Class C",2659,"BURAI RIVER BEFORE CONFLUECE TO TAPI RIVER, MUKUDAS, DHULE",,MAHARASHTRA,"21.275792","74.751714",red,"#f03"
"NOT Class C",2660,"DARNA RIVER AT CHEHEDI PUMPING STATION, NASHIK.","DARNA RIVER",MAHARASHTRA,"19.932352","73.856413",red,"#f03"
"NOT Class C",2661,"DARNA RIVER AT ASWALI ( DARNA DAM), IGATPURI, NASHIK","DARNA RIVER",MAHARASHTRA,"19.761988","73.737187",red,"#f03"
"NOT Class C",2662,"DARNA RIVER AT MES SITE PUMPING STATION, BHAGUR, NASHIK.","DARNA RIVER",MAHARASHTRA,"19.870494","73.829919",red,"#f03"
"NOT Class C",2663,"DARNA RIVER AT BHAGUR PUMPING STATION NEAR PANDHURLI BRIDGE, BHAGUR, NASHIK.","DARNA RIVER",MAHARASHTRA,"19.872772","73.834011",red,"#f03"
"NOT Class C",2664,"DARNA RIVER AT SANSARI, NASHIK.","DARNA RIVER",MAHARASHTRA,"19.900366","73.838095",red,"#f03"
"NOT Class C",2665,"GHOD RIVER AT SHIRUR, PUNE.","GHOD RIVER",MAHARASHTRA,"18.831722","74.387839",red,"#f03"
"NOT Class C",2666,"GOMAI RIVER, D/S. OF SHAHADA, DHULE.",,MAHARASHTRA,"21.545645","74.468325",red,"#f03"
"NOT Class C",2667,"HIWARA RIVER, D/S OF PACHORA., JALGAON","HIWARA RIVER,",MAHARASHTRA,"20.6589","75.349177",red,"#f03"
"NOT Class C",2668,"INDRAYANI RIVER AT D/S OF MOSHIGAON, HAWELI, PUNE","INDRAYANI RIVER",MAHARASHTRA,"18.677697","73.851206",red,"#f03"
"NOT Class C",2669,"INDRAYANI RIVER AT U/S OF MOSHIGAON, HAWELI, PUNE.","INDRAYANI RIVER",MAHARASHTRA,"18.677486","73.851233",red,"#f03"
