group,WQSC,location,river,state,Latitude,Longitude,Colour,ColourFill
"NOT Class C",3022,"THIRUMANIMUTHAR AT SALEM, D/S OF SAGO & TEXTILE DYING INDUSTRIES, TAMILNADU",THIRUMANIMUTHAR,TAMILNADU,"11.645876","78.120341",red,"#f03"
"NOT Class C",3023,"VASISTA AT SALEM, D/S OF SAGO INDUSRIES EFFLUENT, TAMILNADU",VASISTA,TAMILNADU,"11.647853","78.138125",red,"#f03"
"NOT Class C",3024,"SARABANGA AT SALEM, D/S OF TEXTILE DYEING INDUSTRIES EFFLUENT, TAMILNADU",SARABANGA,TAMILNADU,"11.649094","78.148011",red,"#f03"
"NOT Class C",3025,"TAMBIRAPARANI AT ERAL, THOTHUKUDI, TAMILNADU",TAMBIRAPARANI,TAMILNADU,"8.620606","78.022839",red,"#f03"
"NOT Class C",3026,"TAMBIRAPARANI AT KALLIDAI KURICHI, TIRUNELVELI, TAMILNADU",TAMBIRAPARANI,TAMILNADU,"8.69375","77.462681",red,"#f03"
"NOT Class C",3027,"TAMBIRAPARANI AT SRIVAIKUNTAM, D/S OF SK ANAICUT, TIRUNELVELI, TAMILNADU",TAMBIRAPARANI,TAMILNADU,"8.627358","77.909",red,"#f03"
"NOT Class C",3028,"TAMBIRAPARANI AT VELLAKOIL, TIRUNELVELI, TAMILNADU",TAMBIRAPARANI,TAMILNADU,"8.718019","77.703531",red,"#f03"
"NOT Class C",3029,"TAMBIRAPARANI AT SIVALAPERI, CONFLUENCE POINT OF KUTTRALAM FALLS, D/S OF PALAYAMKOTTAI, TIRUNELVELI, TAMILNADU",TAMBIRAPARANI,TAMILNADU,"8.700031","77.690869",red,"#f03"
"NOT Class C",3079,"D/S OF RIVER KRISHNA A/C WITH TREATED SEWAGE DISCHARGING FROM 10MLD STP LOCATED AT RAMALINGESHWARNAGAR, VIJAYAWADA, KRISHNA, A.P.","D/S OF RIVER KRISHNA A/C WITH TREATED SEWAGE DISCHARGING FROM 10MLD STP LOCATED","ANDHRA PRADESH","16.398256","80.721106",red,"#f03"
"Class C",3080,"U/S OF KARAKAVAGU AT PALONCHA, KHAMMAM, A.P.","U/S OF KARAKAVAGU","ANDHRA PRADESH","17.647541","80.707462",blue,"#00f"
"Class C",3081,"D/S OF KARAKAVAGU AT PALONCHA, KHAMMAM, A.P.","D/S OF KARAKAVAGU","ANDHRA PRADESH","16.065597","78.829544",blue,"#00f"
"NOT Class C",3082,"RIVER MUSI RESERVOIR AT KASANIGUDA, NALGONDA, A.P.","RIVER MUSI RESERVOIR","ANDHRA PRADESH","17.247636","79.492042",red,"#f03"
"Class C",3083,"KRISHNA D/S OF SRISHAILAM, KURNOOL, A.P.",KRISHNA,"ANDHRA PRADESH","16.087917","78.890169",blue,"#00f"
"NOT Class C",31,"CAUVERY AT MUSIRI, TAMIL NADU",CAUVERY,TAMILNADU,"10.955345","78.443949",red,"#f03"
"NOT Class C",3113,"GANGA AT D/S BUXAR NEAR GANGA BRIDGE",GANGA,BIHAR,"25.588972","83.985861",red,"#f03"
"NOT Class C",3114,"GANGA RIVER NEAR DANAPUR (NEAR PIPAPUL)",,BIHAR,"25.588972","83.985861",red,"#f03"
"Class C",3116,"GANGA AT U/S MUNGER (NEAR INTAKE WELL ON GANGA)",GANGA,BIHAR,"25.368174","86.464302",blue,"#00f"
"Class C",3117,"GANGA AT U/S SULTANGANJ",GANGA,BIHAR,"25.252575","86.725558",blue,"#00f"
"Class C",3118,"GANGA AT U/S BHAGALPUR",GANGA,BIHAR,"25.271603","87.025665",blue,"#00f"
"Class C",3119,"PUNPUN RIVER NEAR PUNPUN RAIL BRIDGE",,BIHAR,"25.513517","85.292658",blue,"#00f"
"Class C",3120,"PUNPUN RIVER NEAR KINZER ROAD BRIDGE",,BIHAR,"25.217822","84.826131",blue,"#00f"
"Class C",3121,"SONE RIVER NEAR BANZARI",,BIHAR,"24.671905","84.010068",blue,"#00f"
"NOT Class C",3122,"GANGA AT MALSALAMI, PATNA",GANGA,BIHAR,"25.557806","85.275648",red,"#f03"
"Class C",3123,"GANGA RIVER AT BARAHIA","GANGA RIVER",BIHAR,"25.315313","86.029821",blue,"#00f"
"Class C",3124,"GANDAK RIVER U/S ROAD BRIDGE MUZAFFARPUR (NH)","GANDAK RIVER",BIHAR,"26.136076","85.381196",blue,"#00f"
"Class C",3125,"GANDAK RIVER GOPALGANJ - PIPRAKOTHI ROAD BRIDGE (DUMARIA GHAT)",,BIHAR,"26.360672","84.749947",blue,"#00f"
"Class C",3126,"U/S HARBORA RIVER",,BIHAR,"27.094829","84.143868",blue,"#00f"
"Class C",3127,"SONE RIVER AT BAHIYARA","SONE RIVER",BIHAR,"25.297742","84.678992",blue,"#00f"
"Class C",3128,"SONE RIVER AT NASIRIGANJ DAM","SONE RIVER",BIHAR,"25.045209","84.332819",blue,"#00f"
"NOT Class C",3129,"DAHA RIVER AT MEERGANJ","DAHA RIVER",BIHAR,"26.364956","84.360872",red,"#f03"
"Class C",3130,"RAM REKHA RIVER AT U/S HARINAGAR","RAM REKHA RIVER",BIHAR,"27.17026","84.322348",blue,"#00f"
"Class C",3131,"U/S MANUSMAR RIVER (RIGA)",,BIHAR,"26.658543","85.400266",blue,"#00f"
"Class C",3132,"BAGMATI RIVER AT MUZAFFARPUR - SITAMARHI ROAD BRIDGE","BAGMATI RIVER",BIHAR,"26.341991","85.481683",blue,"#00f"
"Class C",3133,"KAMALA RIVER AT JAYNAGAR","KAMALA RIVER",BIHAR,"26.596857","86.144676",blue,"#00f"
"NOT Class C",3134,"SIKRAHNA RIVER AT LAURIA - HARINAGAR ROAD BRIDGE","SIKRAHNA RIVER",BIHAR,"26.148036","85.373764",red,"#f03"
"Class C",3135,"BAGMATI RIVER AT DARBHANGA - SAMASTIPUR ROAD BRIDGE","BAGMATI RIVER",BIHAR,"26.038984","85.891341",blue,"#00f"
"NOT Class C",3136,"SIRSIA RIVER D/S RAXAUL (KOERIA TOLA)","SIRSIA RIVER",BIHAR,"26.988061","84.855244",red,"#f03"
"Class C",3137,"KOSHI RIVER AT BEERPUR","KOSHI RIVER",BIHAR,"25.386081","87.092419",blue,"#00f"
"Class C",3165,"HASDEO RIVER 100 METER D/S A/C OF DENGUR NALLAH NERA C.S.E.B. EAST GUEST HOUSE, KORBA","HASDEO RIVER 100 METER",CHHATTISGARH,"22.339305","82.692841",blue,"#00f"
"Class C",3167,"SHEONATH AT RAJNANDGAON, D/S AT MOHAD, RAJNANDGAON",SHEONATH,CHHATTISGARH,"21.047808","81.065781",blue,"#00f"
"Class C",3168,"DOWNSTREAM OF HASDEO RIVER NEAR URGA VILLAGE KORBA",,CHHATTISGARH,"22.282751","82.700933",blue,"#00f"
"NOT Class C",3181,"RIVER ZUARI AT BORIM BRIDGE","RIVER ZUARI",GOA,"15.350089","74.00325",red,"#f03"
"NOT Class C",3182,"RIVER ZUARI AT MARCAIM JETTY","RIVER ZUARI",GOA,"15.407325","73.944117",red,"#f03"
"NOT Class C",3183,"RIVER SAL AT KHAREBAND, MARGAO","RIVER SAL",GOA,"15.275075","73.948836",red,"#f03"
"NOT Class C",3184,"RIVER SAL AT ORLIM BRIDGE, ORLIM","RIVER SAL",GOA,"15.220008","73.957919",red,"#f03"
"NOT Class C",3185,"RIVER MANDOVI AT AMONA BRIDGE","RIVER MANDOVI",GOA,"15.527369","73.968625",red,"#f03"
"NOT Class C",3186,"RIVER MANDOVI AT IFFI JETTY","RIVER MANDOVI",GOA,"15.503417","73.845425",red,"#f03"
"NOT Class C",3187,"RIVER MANDOVI NEAR HOTEL MARRIOT",,GOA,"15.487294","73.809108",red,"#f03"
"NOT Class C",3188,"RIVER TIRACOL AT TIRACOL","RIVER TIRACOL",GOA,"15.721736","73.695817",red,"#f03"
"NOT Class C",3189,"RIVER CHAPORA AT SIOLIM","RIVER CHAPORA",GOA,"15.631633","73.760186",red,"#f03"
"NOT Class C",3190,"RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE)",,GOA,"15.510461","73.779575",red,"#f03"
"NOT Class C",3191,"RIVER SINQUERIM NEAR NERUL TEMPLE",,GOA,"15.499086","73.779919",red,"#f03"
"NOT Class C",3203,"AMRAVATI AT VILLAGE DADHAL , TA ANKLESHWAR, BHARUCH",AMRAVATI,GUJARAT,"21.635384","73.064972",red,"#f03"
"NOT Class C",3204,"DOWNSTREAM OF RIVER VISHWAMITRI AT KHALIPUR VILLAGE, BEFORE MEETING JAMBUVA RIVER","DOWNSTREAM OF RIVER VISHWAMITRI",GUJARAT,"22.209342","73.160406",red,"#f03"
"NOT Class C",3205,"UPSTREAM OF RIVER VISHWAMITRI AT ASOD BRIDGE AT N.H. 8 , NEAR GLDEN CHOKDI, ASOD VEMALI ROAD","UPSTREAM OF RIVER VISHWAMITRI",GUJARAT,"22.255227","73.165754",red,"#f03"
"NOT Class C",3274,"JHELUM AT AWANTIPORA",JHELUM,"JAMMU & KASHMIR","33.922416","75.011699",red,"#f03"
"NOT Class C",3275,"JHELUM AT PAMPORE",JHELUM,"JAMMU & KASHMIR","34.005819","74.912056",red,"#f03"
"Class C",33,"CAUVERY AT KRS DAM,BALAMURIKSHETRA,KARNATAKA",CAUVERY,KARNATAKA,"12.425291","76.57265",blue,"#00f"
"Class C",3305,"BANJAR AT MALANJKHAND NEAR W/S INTAKE POINT, JABALPUR",BANJAR,"MADHYA PRADESH","22.049425","80.716076",blue,"#00f"
"Class C",3305,"RIVER BANJAR AT MALANJKHAND NEAR W/S INTAKE POINT, JABALPUR","RIVER BANJAR","MADHYA PRADESH","22.049425","80.716076",blue,"#00f"
"NOT Class C",3312,"KANHAN AT CHINDWARA BEFORE MIXING BOREGAON GROWTH CENTRE NALLA, JABALPUR",KANHAN,"MADHYA PRADESH","22.061124","78.952935",red,"#f03"
"NOT Class C",3322,"NARMADA AT MANDLA, NEAR SHAMSHANGHAT, JABALPUR",NARMADA,"MADHYA PRADESH","22.598282","80.370419",red,"#f03"
"Class C",3323,"NARMADA AT LALPUR, NEAR WATER SUPPLY INTAKE POINT, JABALPUR",NARMADA,"MADHYA PRADESH","23.124518","79.775616",blue,"#00f"
"Class C",3324,"NARMADA AT PANCHWATIGHAT, BEFORE MIXING WITH BAWANGANGA RIVER, JABALPUR",NARMADA,"MADHYA PRADESH","23.133109","79.800745",blue,"#00f"
"NOT Class C",3325,"NARMADA AT SARSWATIGHAT, AFTER MIXING WITH BAWANGANGA RIVER, JABALPUR",NARMADA,"MADHYA PRADESH","23.133838","79.800558",red,"#f03"
"NOT Class C",3330,"WAINGANGA AT CHHAPARA, NEAR W/S INTAKE POINT, JABALPUR",WAINGANGA,"MADHYA PRADESH","22.396132","79.540674",red,"#f03"
"Class C",3350,"UMKHEN AT WAHKDAIT",UMKHEN,MEGHALAYA,"25.606128","92.073859",blue,"#00f"
"Class C",3351,"UMKHEN AT KSEHPONGDENG",UMKHEN,MEGHALAYA,"25.566645","92.030121",blue,"#00f"
"Class C",3352,"UMKHEN RIVER AT DIENGPASOH, EAST KHASI HILLS","UMKHEN RIVER",MEGHALAYA,"25.593153","92.041119",blue,"#00f"
"Class C",3353,"UMIAM MAWPHLANG RIVER AT NONGKREM, EAST KHASI HILLS","UMIAM MAWPHLANG RIVER",MEGHALAYA,"25.50912","91.88668",blue,"#00f"
"Class C",3354,"UMIAM MAWPHLANG RIVER AT UMTYNGNGAR, EAST KHASI HILLS","UMIAM MAWPHLANG RIVER",MEGHALAYA,"25.465418","91.823755",blue,"#00f"
"Class C",3355,"UMIAM MAWPHLANG RIVER AT MAWPHLANG, EAST KHASI HILLS","UMIAM MAWPHLANG RIVER",MEGHALAYA,"25.461853","91.778864",blue,"#00f"
"Class C",3356,"UMIAM MAWPHLANG RIVER AT SHELLA, EAST KHASI HILLS","UMIAM MAWPHLANG RIVER",MEGHALAYA,"25.185816","91.638942",blue,"#00f"
"Class C",3357,"UMNGOT RIVER AT SMIT, EAST KHASI HILLS","UMNGOT RIVER",MEGHALAYA,"25.499514","91.902321",blue,"#00f"
"Class C",3358,"UMNGOT RIVER AT DAWKI, EAST KHASI HILLS","UMNGOT RIVER",MEGHALAYA,"25.201766","92.019339",blue,"#00f"
"NOT Class C",3359,"UMKHRAH RIVER AT DEMTHRING, SHILLONG","UMKHRAH RIVER",MEGHALAYA,"25.55801","91.909026",red,"#f03"
"NOT Class C",3360,"UMKHRAH RIVER ATUMKALIAR, SHILLONG",,MEGHALAYA,"25.58026","91.90816",red,"#f03"
"NOT Class C",3361,"UMKHRAH RIVER ATMAWLAI, SLAUGHTER",,MEGHALAYA,"25.624451","91.881237",red,"#f03"
"NOT Class C",3363,"UMSHYRPI RIVER AT RISA COLONY, EAST KHASI HILLS","UMSHYRPI RIVER",MEGHALAYA,"25.561417","91.893367",red,"#f03"
"NOT Class C",3364,"UMSHYRPI RIVER AT LAW COLLEGE, DHANKETI, EAST KHASI HILLS","UMSHYRPI RIVER",MEGHALAYA,"25.56574","91.889085",red,"#f03"
"NOT Class C",3365,"UMSHYRPI RIVER AT UMSHYRPI BRIDGE, EAST KHASI HILLS","UMSHYRPI RIVER",MEGHALAYA,"25.566957","91.87779",red,"#f03"
"Class C",3366,"UMTREW RIVER AT UMRAN, RI- BHOI","UMTREW RIVER",MEGHALAYA,"25.769889","91.875111",blue,"#00f"
"NOT Class C",3367,"NONBAH RIVER AT NANGSTOIN MARKE, WEST KHASI HILLS","NONBAH RIVER",MEGHALAYA,"25.524342","91.272386",red,"#f03"
"NOT Class C",3368,"NONBAH RIVER AT NANGSTOIN MARKE, WEST KHASI HILLS","NONBAH RIVER",MEGHALAYA,"25.52527","91.28034",red,"#f03"
"Class C",3369,"KYNSHI RIVER AT SOHIONG, WEST KHASI HILLS","KYNSHI RIVER",MEGHALAYA,"25.499935","91.708243",blue,"#00f"
"Class C",3370,"KYNSHI RIVER AT NANGKHNUM, WEST KHASI HILLS","KYNSHI RIVER",MEGHALAYA,"25.474742","91.263805",blue,"#00f"
"Class C",3371,"KYNSHI RIVER AT RANIKOR, WEST KHASI HILLS","KYNSHI RIVER",MEGHALAYA,"25.223748","91.240649",blue,"#00f"
"Class C",3372,"RILANG RIVER",,MEGHALAYA,"25.38231","91.40126",blue,"#00f"
"Class C",3373,"WAH BLEI",,MEGHALAYA,"25.673831","91.061082",blue,"#00f"
"Class C",3374,"WAH BLEI",,MEGHALAYA,"25.66259","91.08636",blue,"#00f"
"NOT Class C",3375,"LUKHA RIVER",,MEGHALAYA,"25.293878","92.391253",red,"#f03"
"NOT Class C",3376,"LUKHA RIVER",,MEGHALAYA,"25.108633","92.361445",red,"#f03"
"Class C",3377,"MYNTANG RIVER AT NARTIANG, JAYANTIA HILLS","MYNTANG RIVER",MEGHALAYA,"25.565302","92.209276",blue,"#00f"
"Class C",3378,"MYNTANG RIVER AT MYNSO, JAYANTIA HILLS","MYNTANG RIVER",MEGHALAYA,"25.525132","92.297969",blue,"#00f"
"NOT Class C",3379,"MYNTDU RIVER AT LESHKA, JAYANTIA HILLS","MYNTDU RIVER",MEGHALAYA,"25.268735","92.19829",red,"#f03"
"NOT Class C",3380,"DAMRING RIVER (KRISHNEI RIVER) AT RESUBELPARA, EAST GARO HILLS","DAMRING RIVER (KRISHNEI RIVER)",MEGHALAYA,"25.904203","90.606251",red,"#f03"
"NOT Class C",3381,"MANDA RIVER (DUDHAI RIVER) AT JAMPA, EAST GARO HILLS","MANDA RIVER (DUDHAI RIVER)",MEGHALAYA,"25.65076","90.80859",red,"#f03"
"Class C",3382,"MANDA RIVER (DUDHAI RIVER) AT WAGAISI, EAST GARO HILLS","MANDA RIVER (DUDHAI RIVER)",MEGHALAYA,"25.8358","90.78135",blue,"#00f"
"Class C",3383,"BUGI RIVER AT MIBANPARA, SOUTH GARO HILLS","BUGI RIVER",MEGHALAYA,"25.336148","90.339247",blue,"#00f"
"Class C",3384,"BUGI RIVER AT DALU, SOUTH GARO HILLS","BUGI RIVER",MEGHALAYA,"25.208465","90.23069",blue,"#00f"
"NOT Class C",34,"CAUVERY AT SATHYAGALAM BRIDGE, KARNATAKA",CAUVERY,KARNATAKA,"12.25531","77.163515",red,"#f03"
"Class C",3458,"KARAPUZHA DAM AT WAYANAD","KARAPUZHA DAM",KERALA,"11.617536","76.172039",blue,"#00f"
"Class C",3459,"MANIYANKODE PUZHA AT MANIYANKODE BRIDGE, WAYANAD","MANIYANKODE PUZHA",KERALA,"11.630953","76.079586",blue,"#00f"
"NOT Class C",3460,"KALPATHI PUZHA AT KALPATHI, PALAKKAD","KALPATHI PUZHA",KERALA,"10.791581","76.651378",red,"#f03"
"NOT Class C",3464,"CHALIYAR AT NILAMBUR, MALAPPURAM",CHALIYAR,KERALA,"11.277842","76.215992",red,"#f03"
"Class C",3465,"ACHENKOIL AT KALLARAKADAVU, PATHANAMTHITTA",ACHENKOIL,KERALA,"9.254722","76.588333",blue,"#00f"
"Class C",3466,"ACHENKOIL AT PANDALAM (NEAR AYYAPPA TEMPLE), PATHANAMTHITTA",ACHENKOIL,KERALA,"9.264758","76.787042",blue,"#00f"
"Class C",3468,"PERIYAR AT KWA INTAKE- ALUVA, ERNAKULAM",PERIYAR,KERALA,"10.107569","76.345661",blue,"#00f"
"Class C",3471,"RIVER KARAMANA AT ARUVIKARA, THIRUVANANTHAPURAM","RIVER KARAMANA",KERALA,"8.565403","77.016144",blue,"#00f"
"Class C",3473,"RIVER VALAPATTANAM AT PARASSINIKADAVU, KANNUR","RIVER VALAPATTANAM",KERALA,"11.987497","75.400819",blue,"#00f"
"NOT Class C",36,"KRISHNA AT KRISHNA BRIDGE, KARAD, MAHARASHTRA",KRISHNA,MAHARASHTRA,"17.295256","74.188776",red,"#f03"
"NOT Class C",37,"KRISHNA AT SANGLI, MAHARASHTRA",KRISHNA,MAHARASHTRA,"16.824045","74.64951",red,"#f03"
"NOT Class C",39,"KRISHNA AT GADWAL BRIDGE, A.P.",KRISHNA,"ANDHRA PRADESH","16.338826","77.610192",red,"#f03"
"NOT Class C",4,"MAHI AT SEVALIA, GUJARAT",MAHI,GUJARAT,"22.81225","73.359778",red,"#f03"
"Class C",41,"KABBANI AT CAUSE WAY SATTUR, KARNATAKA",KABBANI,KARNATAKA,"12.166761","76.792908",blue,"#00f"
"Class C",42,"KALLADA AT PERUMTHOTTAMKADAVU, PUNALOOR, KERALA",KALLADA,KERALA,"9.075158","76.81881",blue,"#00f"
"Class C",43,"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",MUVATTAPUZHA,KERALA,"9.804794","76.453225",blue,"#00f"
"NOT Class C",44,"NARMADA AT SETHANIGHAT M.P.",NARMADA,"MADHYA PRADESH","22.762685","77.71649",red,"#f03"
"NOT Class C",48,"SUBARNAREKHA AT CHANDIL BRIDGE, JHARKAND",SUBARNAREKHA,JHARKHAND,"22.948415","86.013303",red,"#f03"
"NOT Class C",49,"SUBARNAREKHA AT D/S JAMSHEDPUR,(TATA NAGAR),JHARKAND",SUBARNAREKHA,JHARKHAND,"22.820861","86.232528",red,"#f03"
"NOT Class C",50,"CAUVERY AT METTUR, TAMIL NADU",CAUVERY,TAMILNADU,"11.796255","77.806971",red,"#f03"
"NOT Class C",51,"CAUVERY AT PALLIPPALAYAM, TAMIL NADU",CAUVERY,TAMILNADU,"11.368215","77.741107",red,"#f03"
